Country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721.41329354433,1540.38673539314,1627.28252979358,1453.78883582049,1391.3654106972,1484.232516497,1686.32399698266,1496.13122397491,1533.79004809816,1377.51778146429,903.822840567936,2327.39549099093,2331.1135694815,2029.14750010748,2493.57183817681,2329.91612301957,2298.08835635233,2044.84304932735,2186.66841163896,2270.09411225318,1767.05208314246,2099.86026305344,2029.40129881683,2156.12030622199,1910.35797547899,1850.34745758327,1909.72893546267,1749.6556658182,1917.88399872485,2035.80717658645,2135.96871861379,2079.63046643571,1916.53709183929,1857.13192238509,2011.98961803672,2679.5673263988,2164.94845360825,1991.92861638713,2013.06210980426,1824.04495759296,1607.19316367734,1531.85605647127,1444.83045633844,1334.69978297565,1365.39147092047,1693.96295084992,1552.05032582546,1055.71350081677,826.222214497993,654.553197042491,555.418779851298,577.05428136019,579.845119477438,485.030368878359,456.738204768768,405.175432668383,376.537759907957,370.808206263935,385.474693914028,338.725248080463,302.458930279622,260.945839302458,295.877139512679,245.187813318318,278.502227741256,239.283017131473,221.859229100129,170.486373267737,179.343949939872,153.175918921384,144.914942040596,138.305128311206,130.141564513933,118.920600089492,108.61596554198,99.389273326368,98.0023339999992,91.9357025729731,86.1327268727833,86.1327268727833,91.9328,,,,,,,,,,73.6,,,,,,,,,,50.7,,,,,,,,,,,32.6
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639.2534,,,,,,,,,,504.3,,,,,,,,,,389.6,,,,,,,,,,,273.4
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.1351,,,,,,,,,,80,,,,,,,,,,94.4,,,,,,,,,,,57.4
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.2453,,,,,,,,,,240.7,,,,,,,,,,743.6,,,,,,,,,,,281.6
Sweden,895.566575383021,839.598465219669,841.748595974014,818.552060446922,754.810774040788,667.520117044623,866.172349526019,866.274623559505,870.705623081811,1007.77604976672,887.019108925946,896.750017675756,828.821273079342,738.673442468169,764.798185582236,746.137331503185,691.433526539181,751.335837786126,757.169190563968,740.652818991098,757.888285145154,754.786650593512,780.413322164375,706.296624227806,570.653045085865,565.219558391068,618.790218790219,645.578524586444,705.791052289364,721.695078803474,658.381417369433,627.74070003286,569.762524760188,593.167113618918,574.672506509962,514.550048907727,543.068647593876,547.476113976494,467.067851819135,507.864233880236,610.228198859006,622.558338730232,669.466011725558,459.890675111443,426.007469458321,430.25274937295,494.468571657824,441.625747386039,415.512465373961,471.933323835304,467.395538003062,472.696168910098,453.349337519043,421.876542766612,445.436152763786,441.462736373749,352.791922281504,370.342441076172,509.923356504623,528.095437103454,488.127243507908,514.079946933683,560.098492217899,565.985746095816,597.04126349225,595.765596026243,511.719919117593,495.99478390462,498.455917532948,591.44947610833,648.375306663996,569.373218254498,468.566658529094,556.049315193364,907.32388235559,673.737477750482,618.147030686585,493.948409832751,429.111137553546,443.747617643463,476.679924327062,488.690099695792,372.300819061802,412.41768579492,355.32811993225,436.24552101844,372.456785004504,443.750044589032,343.713127789463,314.986862927712,303.899039649094,336.491631984415,367.221613614973,369.698395949259,299.066273999498,277.119443680859,246.448461744647,256.392905209814,206.558601847308,248.726490491627,188.21621699882,226.017076845806,222.765790163362,227.788731552847,213.409212164325,245.921615254525,237.886107451325,298.260875922014,212.422771721128,250.170244794093,254.377880184332,266.211450100393,232.561640124033,227.342549923195,260.31608707071,290.250981731262,266.274377665826,245.749038103512,257.72540375567,320.331964615905,400.712056676252,269.332853127471,251.398081165666,231.850839687927,238.411810554307,263.425281300568,294.097463899536,277.568014368227,330.036375526219,379.061177458782,348.121417957971,367.83275138898,344.178482718676,306.986591390261,332.581206223852,256.093870044002,314.826058602622,309.827050114525,239.499286824346,226.945984801807,216.124788573576,204.558444553631,156.193785593317,154.714814342223,157.788296997578,132.96595332895,95.7789391916861,86.9707017448497,74.9903301942644,66.7920047496537,61.5176668341796,86.2319366785274,58.9879483084071,61.7373619988379,54.2361269696278,49.3919202273892,35.198221563542,36.3914601373544,30.3311785558568,23.8679434425212,38.1533765738268,21.0524301202859,13.0494761567429,26.571481714392,19.5656427313637,13.8429718417667,10.5387745837184,14.0079103493738,8.8427493876396,10.2209585400754,9.35698618002513,8.32666666666667,5.91,5.71666666666667,3.98333333333333,4.42666666666667,5.81666666666667,7.31666666666667,6.30666666666667,6.30666666666667,5.845903,,,,,,,,,,7.1,,,,,,,,,,6.3,,,,,,,,,,,4.5
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.589539,,,,,,,,,,8.9,,,,,,,,,,8.7,,,,,,,,,,,6.7
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.3251,,,,,,,,,,120.5,,,,,,,,,,43.2,,,,,,,,,,,20.8
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.68047,,,,,,,,,,19.7,,,,,,,,,,17.1,,,,,,,,,,,12.2
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.5221,,,,,,,,,,72.8,,,,,,,,,,50.9,,,,,,,,,,,32.6
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.2291,,,,,,,,,,598.1,,,,,,,,,,716.3,,,,,,,,,,,417.5
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.3568,,,,,,,,,,37.9,,,,,,,,,,54.2,,,,,,,,,,,40
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445.469,,,,,,,,,,529,,,,,,,,,,403.3,,,,,,,,,,,366
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.3831,,,,,,,,,,398,,,,,,,,,,484.8,,,,,,,,,,,398
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.6523,,,,,,,,,,160.4,,,,,,,,,,110.5,,,,,,,,,,,80.8
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.10725,,,,,,,,,,73.2,,,,,,,,,,60.8,,,,,,,,,,,37.8
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.1512,,,,,,,,,,90.5,,,,,,,,,,46.1,,,,,,,,,,,27.9
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.0225,,,,,,,,,,135.5,,,,,,,,,,59.7,,,,,,,,,,,35.9
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.67099,,,,,,,,,,59.2,,,,,,,,,,38.4,,,,,,,,,,,26.4
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.3156,,,,,,,,,,560.6,,,,,,,,,,461.6,,,,,,,,,,,274.2
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.59562,,,,,,,,,,34.9,,,,,,,,,,38.3,,,,,,,,,,,37.4
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.11285,,,,,,,,,,37.5,,,,,,,,,,20.8,,,,,,,,,,,15.1
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.446130767735,611.836415011571,577.522792173087,548.007994310962,534.207983892574,520.34255751492,499.680759514754,474.302693074613,408.983075047502,445.403352412963,422.163105392662,471.958288292677,504.245206071138,473.238914138312,436.31658980726,428.385152600844,497.008695465116,544.674864650578,517.607807798741,474.732637339964,441.475233824384,442.98802711077,433.767628434651,490.842589054777,501.284037322288,467.068405753531,494.035354163024,689.427959663502,587.558474006477,467.897798131497,394.055358406025,377.337332957683,389.702669366149,408.572827025689,489.311175435452,512.248848470998,521.785665596249,487.832285137565,512.268784852554,431.466689284156,472.138637782476,480.441769170113,417.110854572149,498.417177443838,529.265706734555,574.949804496579,627.566589419804,532.378429733821,460.167832301187,491.946776600929,459.381681198599,437.296754539262,464.748669739536,474.399039928651,472.749040253334,455.470205336436,421.954093008294,397.245797742469,435.795750554114,419.252726584362,401.709915730713,376.600840685051,391.026655073475,382.031072818287,409.718068411586,416.747939533534,419.083533019555,439.858528658166,441.726369112668,431.275964809227,414.448590796135,420.300717931202,461.61428861183,455.709253532762,422.306766870882,415.581717788807,414.569326680712,414.526757429499,434.586462326274,441.307428244493,440.870258002994,474.739125783098,465.029629911222,472.433807307361,419.955260313047,433.560039263971,452.761935891112,464.164098485312,457.844714599437,421.271412520527,367.446099257267,356.08665865537,340.357370771266,298.628979234662,316.230476990726,276.234833725408,253.651839594969,209.347296075752,196.044289643104,155.513872614935,129.383316585745,110.951910009707,103.0482260782,91.408095214576,76,67,71,65,60.6459013104007,53.4030142717414,46.0338327935072,44.2815387834727,38.744103214291,39.4901943299724,33.7737479369047,35.6488811735755,28.4525001317245,25.9140703127497,26.8843712534449,26.1000318061116,20.8965030671543,23.4120810714419,18.9225841041283,17.9741947013761,16.7833333333333,15.4333333333333,14.4333333333333,13.33,13.16,12.98,12.4533333333333,11.6833333333333,11.6833333333333,10.30375,,,,,,,,,,10.1,,,,,,,,,,12.2,,,,,,,,,,,10.7
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,800,740,700,790,800,710,720,670,700,690,700,650,680,710,608,622,662,916,737,799,682,664,665,656,647,656,647,692,695,673,661,633,619,593,582,568,489,435,404,376,317,259,245,228,207,157,135,117,90,83,75,68,61,52.4,47,40.9,41,37.6,37.4,37.1,36.9,35.2,35.8,33.3,31.6,29.1,28,24.5,22.2,20.8333333333333,19.7,17.6,16.2,14.2,13.2333333333333,12.4333333333333,11.3666666666667,10.4666666666667,10.4666666666667,12.20167,,,,,,,,,,12.3,,,,,,,,,,18,,,,,,,,,,,20.2
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.94205,,,,,,,,,,38.4,,,,,,,,,,33.2,,,,,,,,,,,27.3
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.05468,,,,,,,,,,50.1,,,,,,,,,,45.4,,,,,,,,,,,37.3
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.2763,,,,,,,,,,123.1,,,,,,,,,,88.3,,,,,,,,,,,71
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.85382,,,,,,,,,,70,,,,,,,,,,59.2,,,,,,,,,,,52.5
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.4382,,,,,,,,,,67.6,,,,,,,,,,45.3,,,,,,,,,,,43.6
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.7552,,,,,,,,,,131,,,,,,,,,,87.8,,,,,,,,,,,54.1
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808.1016,,,,,,,,,,434.3,,,,,,,,,,353.6,,,,,,,,,,,264
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.8023,,,,,,,,,,490.6,,,,,,,,,,800.9,,,,,,,,,,,293
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.6119,,,,,,,,,,245.6,,,,,,,,,,1283.6,,,,,,,,,,,329.2
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
